,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado
52,UNESP - Universidade Estadual Paulista - Rio Claro,7.0,1655.35,superior,rio claro,são paulo
53,Prefeitura de Bauru,2.0,1887.9,médio e técnico,bauru,são paulo
54,Prefeitura de Ribeirão (PE),25.0,2424.0,médio,ribeirão,pernambuco
55,Prefeitura de Sanclerlândia (GO),16.0,2558.99,"fundamental, médio e superior",sanclerlândia,goiás
56,Prefeitura de Feliz (RS),6.0,2584.69,fundamental e médio,feliz,rio grande do sul
57,Prefeitura de Chapecó (SC),75.0,2976.8,fundamental,chapecó,santa catarina
58,Prefeitura de Água Doce,2.0,4877.63,superior,água doce,santa catarina
59,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",4.0,5831.21,superior,itumbiara,goiás
60,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo,34.0,6582.6,médio e superior,espírito santo,espírito santo
61,Prefeitura de Brás Pires (MG),140.0,10543.11,"fundamental, médio e superior",brás pires,minas gerais
62,Receita Federal,699.0,21029.09,superior,todo o país,todo o país
63,Banco do Brasil,6000.0,3622.23,médio,todo o país,todo o país
64,Universidade Federal da Bahia (UFBA),24.0,9600.92,superior,bahia,bahia
65,Prefeitura de Erval Seco (RS),18.0,1616.24,superior,erval seco,rio grande do sul
66,Prefeitura de Poço Fundo (MG),58.0,2555.28,"fundamental, médio e superior",poço fundo,minas gerais
67,Prefeitura de Sete Lagoas (MG),2.0,2717.63,médio e superior,sete lagoas,minas gerais
68,Defensoria Pública da Bahia,115.0,3068.25,superior,salvador,bahia
69,Consórcio Intermunicipal de Saúde da Região do Vale do Peixoto (MT),110.0,3618.0,"fundamental, médio e superior",mato grosso,mato grosso
70,Prefeitura de Britânia (GO),135.0,4903.22,"fundamental, médio e superior",britânia,goiás
71,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",3.0,5831.21,superior,inhumas,goiás
72,Prefeitura de Boa Esperança,1.0,6053.07,"médio , superior",esperança,paraná
73,Universidade Federal do Mato Grosso (UFMT),18.0,10074.18,superior,mato grosso,mato grosso
75,Prefeitura de Ponta Porã (MS),714.0,4000.0,"fundamental, médio e superior",ponta porã,mato grosso do sul
76,Empresa de Desenvolvimento Agropecuário de Sergipe,55.0,5175.44,médio e superior,aracaju,sergipe
77,Tribunal de Justiça do Estado de São Paulo (SP),244.0,28883.97,superior,várias cidades,são paulo
78,Prefeitura de Ponta Porã (MS),860.0,9980.0,"fundamental, médio e superior",ponta porã,mato grosso do sul
79,Polícia Militar do Estado do Rio Grande do Norte (PM - RN),1.158,1302.0,superior,natal,rio grande do norte
80,Prefeitura de Pedralva (MG),105.0,5294.02,"fundamental, médio e superior",pedralva,minas gerais
81,Prefeitura de São João del-Rei (MG),81.0,10833.16,"fundamental, médio e superior",são joão del-rei,minas gerais
