,bathrooms,bedrooms,city,country,homeStatus,homeType,isNonOwnerOccupied,isPreforeclosureAuction,livingArea,lotAreaUnit,lotAreaValue,price,rentZestimate,zestimate
86,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1669.0,noUnit,0.0,376990.0,1999,0.0
87,2.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1529.0,sqft,7840.8,269000.0,1849,254600
88,1.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,916.0,acres,0.61,345000.0,1507,320600
89,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,864.0,sqft,9583.2,145000.0,0.0,0.0
90,4.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2795.0,acres,0.27999999999999997,680000.0,4561,588400
91,3.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1303.0,sqft,871.2,269900.0,1898,253700
92,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1957.0,sqft,7405.2,450000.0,2783,473200
93,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2327.0,noUnit,0.0,837500.0,1694,0.0
94,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2687.0,noUnit,0.0,701990.0,1995,686536
95,0.0,0.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,0.0,noUnit,0.0,0.0,1997,0.0
96,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1259.0,sqft,6534.0,389900.0,0.0,0.0
97,1.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1296.0,sqft,3049.2,285000.0,0.0,0.0
98,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1940.0,sqft,5662.8,424990.0,2611,0.0
99,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1769.0,sqft,1742.4,495000.0,1978,421200
100,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1556.0,noUnit,0.0,359990.0,1599,0.0
101,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2343.0,noUnit,0.0,613990.0,3223,601682
102,0.0,0.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,0.0,noUnit,0.0,0.0,1997,0.0
103,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,889.0,sqft,10018.8,185000.0,1550,180500
104,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1785.0,acres,1.92,499000.0,3850,375800
105,3.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2998.0,acres,0.32,599900.0,3167,583069
106,1.0,1.0,Orlando,USA,FOR_SALE,CONDO,True,False,580.0,acres,0.26,139900.0,0.0,0.0
107,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2353.0,sqft,6534.0,725000.0,0.0,0.0
108,3.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1230.0,sqft,871.2,360000.0,1890,244000
109,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1659.0,noUnit,0.0,424490.0,1995,0.0
110,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1729.0,noUnit,0.0,401990.0,1999,0.0
111,0.0,0.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,0.0,noUnit,0.0,0.0,1849,0.0
112,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2913.0,acres,0.38,420000.0,2959,382300
113,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1553.0,sqft,3920.4,395000.0,2300,366400
114,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1572.0,sqft,7405.2,310000.0,0.0,0.0
115,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2022.0,acres,0.25,499000.0,2849,483278
116,2.0,2.0,Orlando,USA,FOR_SALE,MULTI_FAMILY,True,False,1131.0,sqft,5662.8,269000.0,1649,252400
117,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2008.0,sqft,6098.4,484990.0,0.0,0.0
118,2.0,3.0,Orlando,USA,FOR_SALE,CONDO,True,False,1200.0,sqft,6969.6,249900.0,0.0,0.0
119,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2717.0,noUnit,0.0,703990.0,2262,687665
120,2.0,3.0,Orlando,USA,FOR_SALE,MANUFACTURED,True,False,576.0,noUnit,0.0,25300.0,1646,0.0
